Source,Target
115247947,-1665028386
-921394040,972834559
1841020957,-1847082000
-895740085,1659214265
-943923335,-1811230281
1504842393,-88160967
-1058692349,-1749308314
-2075920919,-463369
-1357804521,1508984007
1841020957,1853476228
977490562,-144405761
29089122,1595570175
-1607912094,1546195829
-782779785,-883967054
-63938029,1628543018
972257565,852348744
-53998936,-239115722
1813501647,941987851
-1690491820,-1705050063
1830327507,855763548
-1072318022,-1660715548
1055642845,-1749308314
-979640732,1833591669
46733199,-1389413547
819728603,-1952803707
60284371,507210563
195597799,-88160967
1828234422,1719108652
1861354906,-804049574
-88188054,737621821
888774949,888919129
-1142255000,854368802
-854072553,1661877161
1845720487,-885829975
-68825008,-654873585
-2097380011,-1957912263
-1888877086,1989538903
-861749016,-1860449872
988447166,858776814
-920222943,-1778800562
-1736278913,-654873585
-132698020,-950363413
1654862655,-53012702
1003403298,143547172
-926166744,-1074782708
-471165616,-1778355713
715180869,831330776
-2074951365,-130025243
1813501647,-62688778
-1919096019,-1866824523
-1690491820,-775789583
-976580696,-1547085141
839857658,-804654379
-661313126,1584187169
-913067334,1748751532
888774949,-32755880
745744578,730908125
3236459,16804792
1946340793,-1575717148
-27867122,843896693
195569352,-117685250
-239115722,-1549675847
-1597844656,-888443454
70532529,-1912691380
1546195829,970966430
1720056351,-144405761
-1835493952,-1977743520
-1736278913,-1573717364
107217734,-868823982
1607451981,1574152808
507210563,60284371
-1072292168,-32720064
-1007831293,944604587
-976580696,624372661
-176605602,-167740701
-1977743520,1836420896
1574152808,745593639
-1633778907,-1633721216
-957748078,679274035
-118576932,1546195829
-1919096019,-1597844656
-1899639923,-1811230281
930447378,-845322360
1545778101,-1894310667
701285870,-1860545492
1841020957,-713987545
943468412,46887799
-2077377141,829842499
-1837190663,1684198398
-713987545,977490562
1929018015,-1071245484
1555628211,-888443454
-1691894009,-845322360
-1919096019,-1900809864
-1597844656,-61341307
-993947859,-1573717364
-175477999,1767421152
740958325,-943923335
-978308421,4101260
-56703972,-1977743520
1114540939,-2027691124
-203650479,1742194695
1944843306,-668946953
1571071,1569
104388377,-3204933
70532529,-1212859373
745593639,1989538903
143547172,1719108652
-1846104730,-130025243
1712927326,833597126
1484174238,510327545
1592709216,1742817467
-2010278352,-788157583
85726866,1774397984
-884572971,108906685
1023373049,-1654925778
-691882412,-118607745
-1619835694,-1064042508
104388377,-1142255000
997065313,-916588225
-316093975,-654873585
-755599636,-2015265672
822460531,857915786
1776509274,143108235
542153833,1609161092
-1691894009,1830327507
747145223,-713987545
-2089641482,-1175259340
-182464108,-654873585
-1038335804,1767421152
1021351749,-1597736655
1846141343,1903166062
1498828307,1831561688
1055642845,-1071339662
1664814747,-1187834186
-1518438537,-868823982
1003403298,1719108652
-688036705,46887799
1781393063,-1633158155
887104736,1771802261
891353292,-1518438537
1859358818,-1904842441
-2089641482,1833591669
-1175259340,1661418556
-942628406,-353676363
-781239495,930447378
1653332779,1145933336
-804663371,57217027
-53012702,105100678
116402353,-1195106060
-297660850,595384337
745593639,1746036768
-63938029,592550473
1546195829,-153567452
115251963,14287695
832500656,1002534139
737621821,-32755880
1771813214,-138870394
804534065,1742227899
224131338,-1449847518
-1151361103,46887799
-835228646,1846141343
-1025654217,-1705050063
-1947919097,887104736
-120872642,1761209006
-1518438537,-1662614052
169369302,-1175259340
130399900,-298407455
130399900,-878299108
799380211,1898780211
770515857,-143606145
861182655,-1072292168
78201006,-868823982
-1567037110,-88160967
-1006855883,-1634556992
1140331226,1833591669
107217734,1147874834
490322074,-919151438
-895740085,43893898
-88160967,-1712909745
-806939064,-775789583
1746036768,1094214645
819728603,1456563373
-1689427182,-1719659094
88206636,-203930990
1749460814,-978308421
-668946953,-973756825
-1513071406,-654873585
-657765426,-1705050063
-1721219886,945167366
-1725501323,-1930141384
1661418556,-25334971
-1778050150,1767421152
796702953,1025103814
-120872642,-57631518
242103037,1508984007
700062927,1132965784
-1159518674,-1043043581
214809866,146039658
-943923335,740958325
899119440,78201006
-775789583,-133198922
-1872597835,-621137055
542153833,-884572971
2007267478,-1158060488
1898780211,-667126967
-1577364198,-919151438
542153833,735721824
1989538903,-419269542
1684198398,46822549
855763548,85398046
1538323213,612343155
-744487705,-29767932
-29832215,-1549797832
-921394040,70532529
-804654379,-1072318022
956432079,1989538903
-2136484562,-142686593
-794971571,-1894310667
-1573717364,-885829975
-4881268,-731461384
956432079,-1047240851
202890150,-364092
839857658,-659407334
944416791,1589251368
1546195829,745745259
-1888877086,-1071339662
776260572,-239115722
-1752229703,-1175259340
-700303611,-323853287
-1872597835,-978308421
1652872772,740272562
30824903,1132965784
-1487362887,-693452556
-2043836973,1555628211
-173065694,829842499
-781239495,499182992
770586397,-1800162357
-34186337,-1122864713
1652872772,-743532439
930447378,-1020121259
1678803251,1650143320
1609161092,-657765426
-1212859373,-857701065
1011536631,-969745687
48670485,-1837190663
199197188,-1646123465
-364092,-775048268
195569352,1546195829
972834559,-62688778
542153833,-1573717364
-232317873,-1071245484
-934747371,-1579413247
-1718775422,1584187169
798827803,54924774
-95765688,-1671211865
1428141498,242103037
-1567037110,-700303611
324210827,-654873585
-957748078,-1122864713
831330776,830587238
1596614813,-826656928
-1518438537,-957748078
510695230,-182464108
826758591,1742227899
-840870967,-53012702
-21749218,-260537522
-1951682930,348073231
-804654379,-1838708801
830525618,-1175259340
-140063126,-29983273
1746150224,1804000393
-1122864713,-323853287
1781393063,-181212034
741186437,852348744
-93426802,168966886
-1019242809,2130035460
134489348,-1660715548
