Source,Target
88,-737261337
1012444188,-737261337
-1907187532,-737261337
66,-737261337
78,-737261337
1579768016,-737261337
78,-709270459
-1907187532,-709270459
1579768016,-709270459
66,-709270459
1012444188,-709270459
1012444188,-707199768
-1907187532,-707199768
69443,-707199768
66,-707199768
78,-707199768
1012444188,-699971107
-1907187532,-699971107
66,-699971107
78,-699971107
1579768016,-699971107
66,-666575626
78,-666575626
-1907187532,-666575626
69443,-633566565
271787169,-633566565
1564189401,-633566565
-1907187532,-633566565
1579768016,-633566565
78,-633566565
1809882642,-633566565
-1181708164,-633566565
-991054700,-633566565
1012444188,-633566565
68761,-633566565
66,-633566565
88,-633566565
130396743,-626857509
66,-603965090
-1907187532,-603965090
66,-570775541
-1907187532,-570775541
-1907187532,-566744579
1012444188,-566744579
66,-566744579
78,-566744579
1579768016,-566744579
78,-524610237
66,-499688860
-1907187532,-499688860
78,-499688860
1012444188,-499688860
1579768016,-499688860
-1907187532,-490846008
66,-490846008
78,-490846008
1012444188,-490846008
66,-482640159
78,-482640159
-1907187532,-482640159
78,-457139427
-1907187532,-457139427
66,-457139427
1012444188,-444013798
78,-444013798
1579768016,-444013798
-1907187532,-444013798
66,-444013798
-1158272956,-428125740
-607679464,-428125740
66,-428125740
1226005446,-428125740
78,-428125740
69443,-392213717
-1907187532,-362393007
66,-362393007
78,-362393007
1012444188,-362393007
1579768016,-362393007
66,-338932685
-1907187532,-338932685
1012444188,-338932685
78,-338932685
66,-311869159
1579768016,-311869159
78,-311869159
1012444188,-311869159
-1907187532,-311869159
88,-311869159
1579768016,-302079511
-1907187532,-302079511
1012444188,-302079511
66,-302079511
78,-302079511
78,-287792665
78,-282478067
1012444188,-282478067
-1907187532,-282478067
66,-282478067
66,-272231154
1012444188,-272231154
78,-272231154
-1907187532,-272231154
1579768016,-272231154
66,-263566712
1012444188,-263566712
78,-263566712
-1907187532,-263566712
78,-252973318
66,-252973318
88,-252973318
78,-226009499
-1907187532,-226009499
66,-226009499
66,-220774944
78,-167894522
1579768016,-167894522
66,-167894522
-1907187532,-167894522
1012444188,-167894522
-1907187532,-134283995
66,-134283995
1012444188,-81318916
1579768016,-81318916
-1907187532,-81318916
78,-81318916
88,-81318916
66,-81318916
662316613,-81318916
-1907187532,-80789757
1012444188,-80789757
78,-80789757
