Source,Target
-2010278352,605669262
-2010278352,1545778101
-2010088658,945167366
-1984970341,-88160967
-1978913137,-1753118089
-1977743520,-1835493952
-1977743520,-745385127
-1977743520,-717675744
-1977743520,-232560012
-1977743520,788904162
-1977743520,855763548
-1977743520,1492393066
-1977743520,1546195829
-1977743520,1836420896
-1976667354,-419269542
-1976667354,-232317873
-1976667354,-217970676
-1976667354,-53012702
-1976667354,161768515
-1976667354,1607480687
-1969300959,-868823982
-1959168784,-1518438537
-1959168784,108906685
-1959168784,701285870
-1959168784,740958325
-1959168784,1145933336
-1957912263,-2097380011
-1957912263,-130025243
-1952803707,-1007831293
-1952803707,-885756599
-1952803707,-875656547
-1952803707,-804654379
-1952803707,115863800
-1952803707,143547172
-1952803707,1652872772
-1951682930,-700303611
-1951682930,-23607567
-1951682930,57217027
-1951682930,108906685
-1951682930,348073231
-1951682930,507210563
-1951682930,510327545
-1949980507,-1072318022
-1947919097,-153567452
-1947919097,-54826302
-1947919097,-32779962
-1947919097,862168485
-1947919097,887104736
-1947919097,1814234201
-1946165179,-1832447664
-1943392658,1498828307
-1931036170,-1894310667
-1931036170,-654873585
-1930141384,-1976667354
-1930141384,-1749308314
-1930141384,-1074782708
-1930141384,-1058692349
-1930141384,-947898655
-1930141384,-298407455
-1930141384,1479192472
-1925932447,-668946953
-1925932447,-667069249
-1925932447,801070059
-1925932447,1720056351
-1925932447,1761209006
-1922334462,-1943392658
-1922334462,-1917680061
-1922334462,-1756475904
-1922334462,-1405490961
-1922334462,-450937114
-1921831531,-973756825
-1921831531,-668946953
-1921831531,-588969885
-1920582690,-1780853097
-1920582690,-443669391
-1920582690,-443641491
-1920582690,115247947
-1920582690,944604587
-1920397310,1607480687
-1919471358,-1778972353
-1919471358,-661313126
-1919471358,82001311
-1919096019,-1951682930
-1919096019,-1900809864
-1919096019,-1866824523
-1919096019,-1799311532
-1919096019,-1597844656
-1919096019,-1513071406
-1919096019,-993947859
-1919096019,-897311898
-1919096019,-693452556
-1919096019,-657765426
-1919096019,-372985709
-1919096019,-88160967
-1919096019,57217027
-1919096019,237667990
-1919096019,735721824
-1919096019,1781393063
-1919096019,1813501647
-1919096019,1946869998
-1917680061,-715923998
-1917680061,-29832215
-1915798964,-1959168784
-1915798964,-1705050063
-1915798964,-1659347164
-1915798964,-1122864713
-1915798964,-943923335
-1915798964,-819832095
-1915798964,-106748933
-1915798964,107665255
-1915798964,1504842393
-1915798964,1653332779
-1915798964,1853535492
-1912691380,-1919096019
-1912691380,-1690491820
-1912691380,-953955987
-1912691380,-654873585
-1912691380,-182464108
-1912691380,-88160967
-1912691380,60284371
-1912691380,510327545
-1912691380,1545778101
-1912691380,1845720487
-1909923574,-130025243
-1909923574,1767421152
-1904842441,-1654925778
-1904842441,-553455984
-1904842441,-100132672
-1904842441,179040831
-1904842441,1857490477
-1903673645,-118174025
-1903673645,931369662
-1902874499,-1920582690
-1900809864,-1894310667
-1900809864,-1567037110
-1900809864,-1487362887
-1899639923,-1811230281
-1899639923,-1753118089
-1894310667,-1951682930
-1894310667,-1567037110
-1894310667,-868823982
-1894310667,-700303611
-1894310667,-658718451
-1894310667,78530896
-1894310667,297251960
-1894310667,531631030
-1894310667,542153833
-1894310667,1545778101
-1894310667,1741524107
-1888877086,-1952803707
-1888877086,-1725501323
-1888877086,-1074782708
-1888877086,-1071339662
-1888877086,-916588225
-1888877086,-915221875
-1888877086,-799704526
-1888877086,-660502543
-1888877086,104388377
-1888877086,490322074
-1888877086,1628543018
-1888877086,1718157417
-1888877086,1989538903
-1887150852,195569352
-1872597835,-1666227740
-1872597835,-1028310682
-1872597835,-978308421
-1872597835,-845322360
-1872597835,-621137055
-1872597835,263572382
-1872597835,740117774
-1869968627,-716873338
-1869968627,770586397
-1865820773,-169493809
-1865820773,-32779962
-1865820773,887104736
-1865820773,1771802261
-1865820773,1814234201
-1864866381,739587967
-1862272792,1374160762
-1860545492,-1915798964
-1860545492,-1753118089
-1853839019,-1952803707
-1853839019,490322074
-1851497539,-806939064
-1847598412,16804792
-1847082000,-1286745565
-1847082000,-917305131
-1847082000,-364092
-1847082000,141081007
-1847082000,230566011
-1847082000,942492331
-1847082000,1140331226
-1847082000,1861354906
-1846104730,-1951682930
-1846104730,-693452556
-1846104730,-411768038
-1846104730,-372985709
-1846104730,-239115722
-1846104730,-130025243
-1846104730,-1131586
-1846104730,89386533
-1846104730,146039658
-1846104730,1589710134
-1846104730,1741524107
-1846104730,1767421152
-1843994239,1546195829
-1843872004,-713987545
-1843872004,-274207314
-1841155350,-1705050063
-1841155350,108906685
-1838708801,768222941
-1838708801,1607480687
-1837190663,-330797151
-1837190663,48670485
-1837190663,1684198398
-1835493952,-1977743520
-1835493952,-353676363
-1835493952,740117774
-1835493952,888212027
-1832849909,1664814747
-1832244295,-1847082000
-1832244295,-364092
-1821756138,-500843094
-1821756138,971057636
-1821756138,1647515508
-1821756138,1659214265
-1811230281,-1064042508
-1811230281,-654873585
-1811230281,-130025243
-1811230281,-88160967
-1811230281,108906685
-1811230281,1609161092
-1811230281,1766282126
-1804695489,-889564780
-1800730473,854368802
-1800162357,46887799
-1800162357,2045038792
-1800159567,-1409388808
