id,Label,Community
-587385165,AbdusMujahid149,-2069348475
-1184099541,MaghrebiQM,-2069348475
-2054769321,darulhijrateyni,-2069348475
-1175589357,NaseemAhmed50,-2069348475
-1891279277,war_analysis,-2069348475
511453062,Baqiyah_Khilafa,-2069348475
-792488607,MilkSheikh2,-2069348475
-1490232341,Suspend_Me_fags,-2069348475
-405739121,ismailmahsud,-2069348475
-950849253,alamreeki4,-2069348475
-1800043641,Freedom_speech2,-2069348475
1647776194,06230550_IS,-2069348475
-2024387229,wayyf44rer,-2069348475
182221674,DawlaWitness11,-2069348475
1614073622,klakishinki,-2069348475
2088441586,_IshfaqAhmad,-2069348475
-1944166317,melvynlion,-2069348475
-1515390381,QassamiMarwan,-2069348475
1286142302,thefIamesofhaqq,-2069348475
1057832827,Abu_Ibn_Taha,-2069348475
-1378631890,btt_ar,-2069348475
-600028802,Dieinurage308,-2069348475
557746499,Alwala_bara,-2069348475
96046475,Bajwa47online,-2069348475
-999542154,k_kid04,-2069348475
-176744094,MaghrebiQ,-2069348475
1439984039,al_nusra,-2069348475
194385875,Abu_Azzzam25,-2069348475
-916153878,Mountainjjoool,-2069348475
-1392951766,DabiqsweetsMan,-2069348475
-1969607806,nvor85j,-2069348475
1536952667,JohnsonsBot,-2069348475
-927160238,ro34th,-2069348475
528397571,ManKhalfahum,-2069348475
-3553910,Witness_alHaqq,-2069348475
-2010434654,maisaraghereeb,-2069348475
-414341470,freelance_112,-2069348475
-529301031,aadawii21,-2049099357
1486381884,studiescenter,-2049099357
157570569,treatingfeud_,-2049099357
-1137032332,urfe_jan,-2049099357
458275676,saqrqurays,-2011454831
-2011454831,wwayf44rer,-2011454831
346185981,mustaklash,-2011454831
472939389,sparksofirhabi3,-2011454831
-1138536251,kasimf,-2010434654
1459012808,HamidHadeed,-2010434654
1661874049,Syrianvictims,-2010434654
575500500,kafirkaty,-1944166317
-1726087879,1_texanna,-1944166317
869753252,Pappii5,-1944166317
1131175345,sassysassyred,-1944166317
2078217201,Ele7vn,-1944166317
-874535676,spicylatte123,-1944166317
1096068476,_SalmanHashimi,-1854767153
85704,WAR,-1854767153
1814501884,Klasmust,-1854767153
-1614369135,whoamidude,-1854767153
150524928,drerdogan_001,-1854767153
1675512532,JooniIsrar,-1854767153
1809964861,a714149,-1854767153
-853531852,Adamhasak43,-1854767153
-1525675464,Qassami_Marwan,-1854767153
1369397729,Pachaconsumer,-1854767153
759076545,QalaatAlMudiq,-1854767153
-965235444,ProJ000_,-1854767153
-214166236,mustafaklash46,-1854767153
-591901448,KhateebDimashqi,-1854767153
-860989864,twdwln,-1854767153
-1405451359,victorynewshd,-1833283096
246568665,MaghrebiMWss,-1833283096
-1833283096,DidyouknowVS,-1833283096
-1085029383,lovelyflower212,0
-1081363099,khalidi_4_sham,0
1835673476,055Brigade,0
1546219272,wayf44rer__,0
1363367480,IbnNabih1,0
-1313931467,iyad_elbaghdadi,0
-862402699,Abdsayf971,0
-244861107,AK47_PK,0
-1949010811,ShortHadiths,0
-44044083,432Mryam,0
-325889175,freedaraa11,0
-1898575483,AbuHurairah_39,0
115030584,FujioMaiko,0
483751924,MarwanTunsi1,0
1181262216,Abu_Laptop47,0
-1530956812,Reuters,0
-773079644,mozlemgurl,0
1354901261,child_lamb,0
-655573140,leithfadel,0
-1184099348,MaghrebiWT,0
-1633949380,Nussra_E,0
-983800684,jrossman12,0
-1106308604,scottmikey1111,0
-2128387904,YunusGhareeb,0
-1747664804,abutariq038,0
-409952092,freeoursisters3,0
1474666937,Aadawii21,0
-492579553,sabahjaan,-2049099357
1145476914,intlspectator,-2049099357
-2049099357,noutankibaaz,-2049099357
1452499986,chandel70,-2049099357
-1215835405,tawheed4all,-2049099357
-190113873,Support,-2049099357
552892287,ibneaadam_,-2049099357
-936723822,lightpenetrated,-2049099357
-1709767590,strawberriiiiiy,-2049099357
1567522407,almunajjid_En,-2049099357
-816871181,_AlAsma_ulHusna,-2011454831
1972247671,mustaklash60,-2011454831
-1596528153,Zeropoint164,-2010434654
460631702,AngelaKorras,-2010434654
2058343474,nasertamimi,-2010434654
-1147076481,Joyce_Karam,-2010434654
1028495838,oryxspioenkop,-2010434654
-1570951909,MousaAlomar,-2010434654
-1267922430,p_vanostaeyen,-2010434654
468793083,RevolutionSyria,-2010434654
748307027,Twitter,-2010434654
-1214413802,BreakingNews,-2010434654
-446799918,markito0171,-2010434654
-1424937034,WW3ISkoming,-2010434654
472939390,sparksofirhabi4,-1944166317
-267218713,ScotsmanInfidel,-1944166317
-1831546126,jailamx,-1944166317
472939391,sparksofirhabi5,-1944166317
